comment_id,video_id,author,text,like_count,published_at,reply_count,video_title,video_channel,video_url
UgwmEmURB5c_v6p6pgR4AaABAg,uSCUNfwMOJs,@Prettywareesha.7,"Telling people they are beautiful 32/40

I love your hair
I love your eyes
I love your strength
I love your voice
I love your style
I love your eye lashes
I love your nose
I love your confidence
I love your forehead
I love your hands
I love your shoulders
Ilove your ears
I love your cheeks
I love your mouth
I love your personality
I love that you are brave
I love that you are kind
I love that you are strong
I love that you are you
I love that you are smart
I love that you are creative
You are beautiful
You are nice
You are confident
You are smart
You are unstoppable
You are perfect
You are unique
You are amazing
You are pretty
I love you when you're mad
I love you when you're sad
I love you when you're happy
I love you when you're anxious
I love you when you're embarrassed
I love you when you're cheerful
I love you when you're disappointed
I love you when you're at your lowest
I love you when you're at your highest
I'm proud of you for doing anything you like
I'm proud of you for setting goals I'm proud of you for getting up I'm proud of you for learning I'm proud of you for trying I'm proud of you for smiling
I'm proud of you for everything you do
I'm proud of you for spreading kindness
I'm proud of you for being you I'm proud of you no matter what
If you're insecure about yourself no because everyone is
If you're sad please try to be happy
If you feel hated no! cuz   you are loved
If you feel sad its okay because deep down you're happy if you are depressed its okay but please smile!! 
insecurities are only real because of society, so ask yourself.. ""would you be who you are right now if it weren't for them?"" and what would you say? don't hate yourself, because you are worth the world! everyone is different and that's a good thing. don't be insecure, just set goals! be yourself and learn to love who you are <3
Maybe check out my channel?",18,2024-11-22T19:27:58Z,1,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgxPThAAECHW6L6ygYB4AaABAg,uSCUNfwMOJs,@ariabelaieff2826,I love that she does all of it with her mom ❤,21,2024-09-15T19:54:37Z,0,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgwHPUX1FjIAUrVTCmt4AaABAg,uSCUNfwMOJs,@Koalabear4eva,You two look like sisters and I really mean that! You’re both skin goals ❤,25,2024-10-07T20:09:35Z,2,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgzteXI0g06U0qNtriB4AaABAg,uSCUNfwMOJs,@francesponderi5632,"Super cozy and relaxing! 💕 Since I added  *Whiteonskinwhitening Cream*  to my routine, my face is brighter, smoother, and has that healthy glass skin glow! 💎",14,2025-06-14T09:53:32Z,1,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgxCibkgAzobi8GAVYl4AaABAg,uSCUNfwMOJs,@Karla-o6u9k,You and your mom looks so beautiful and young❤,8,2024-11-29T18:39:45Z,0,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
Ugxk43kn5-tz7r1xmhF4AaABAg,uSCUNfwMOJs,@LoyyJoyy,Those patches are amazing. Not only do they protect from the sun but there's all sorts of decent ingredients in there and my skin is left feeling better off than before I put them on,4,2024-11-02T08:45:52Z,0,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgwD9wjTOlqkM5DwWTR4AaABAg,uSCUNfwMOJs,@Sandrea-l9y,Your mother is so beautiful 🤩 she literally looks like a sister ❤😊,10,2024-11-13T02:19:58Z,1,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgwcEIQ0tze6smmuFZZ4AaABAg,uSCUNfwMOJs,@CataleyaTanYunQi_wellingtonps,The hydrating sheet mask is also useful for giving you a perfect jawline for mewing🤫🧏🏻😂😂😂😂❤❤,5,2024-11-22T14:59:49Z,0,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgyqoP41ofq4vz3GQr14AaABAg,uSCUNfwMOJs,@teganknoxtonslife6822,Your skin is beautiful ❤,9,2024-09-07T10:28:18Z,0,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
Ugw5soA0UEVJjUkM9xp4AaABAg,uSCUNfwMOJs,@varsha9546,"Korea is 10 years ahead of us in Skincare
Also korea is 10 years ahead in ""Crazy Beauty Standards"" & ""Raciam""",40,2024-09-05T17:15:06Z,3,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
