Text,Sentiment,PositiveCount,NegativeCount
Changing my fyp 1/100,중립,0,0
"""""""""""So cuteeee nails """"""""🌸🌷",중립,0,0
Your nails are soooo cute! ❤❤❤,중립,0,0
changing my fyp 1/50,중립,0,0
I’m thinking how good and excited and she be feeling while unboxing those cute n aesthetic products💗😮‍💨🫠,긍정,1,0
Omgg!!! That's so cuteeee!!🌷🌸🍉🎀🪻,중립,0,0
so pretty 🦢🫧🩵,중립,0,0
Omg so pretty,중립,0,0
I have one of the tirtir watertints and its so pretty!,중립,0,0
so cute!♡♪,중립,0,0
So pretty like you!❤,중립,0,0
this is a package worth waiting a whole month for,중립,0,0
the first one with the stickers is just adorable 💕,중립,0,0
"OMG! So many products, but my favourite was the Clio pallette! This haul was so cuteeee!!🩷🐇🌷",중립,0,0
You're my favourite!!!😣🎀💜,중립,0,0
So beautiful! Ilysm,중립,0,0
Omgg i also want to change my fyp 💕,중립,0,0
OMGG YESSS I HAVE THE CLIO EYE PALLETE AND ITS SO GOOD!!! love the other productss🎀❤,긍정,2,0
Que lindo video me gusto mucho,중립,0,0
Cleaning ny fyp 5/100 <33,중립,0,0
So cute,중립,0,0
building my fyp again bc it disappeared !! (last time it was 100/100) 14/25 🎀,중립,0,0
so aesthetic omggg,중립,0,0
So cutee 💕🎀,중립,0,0
Building my fyp 💕🎀🍥,중립,0,0
Changing my broken fyp ♥️,중립,0,0
So amazing 😮,긍정,1,0
I absolutely love that laka lip tint I’m out though 🥲,긍정,1,0
Beautiful!!♥♥,중립,0,0
building my fyp 13/30 🍥🐚,중립,0,0
Sooo cuteee,중립,0,0
Finally someone who admits that it’s a huge haul bc most influencers say “mini haul”,중립,0,0
UR NAILS R TO DIE FORRRRR 😍😍,중립,0,0
"I have those lilybyred lip products in the same shade too!! ❤❤
I love ur nails btw",긍정,1,0
💗💗. Really amazing,긍정,1,0
The cattt on the clio palette it’s jussttttt sooo cuteee and also congrats you are almost at 16k!!!!!!,중립,0,0
I WANT THE CLIO,중립,0,0
Cleaning my fyp 💮🥟🌸🍥,중립,0,0
I Think Ur obsessed with this song******🌸🌸🎀🎀,중립,0,0
I love pink so much🎀🩷🫧,긍정,1,0
My dream life 💕✨,중립,0,0
Changing my fyp 46/60,중립,0,0
pretty,중립,0,0
so cuteee💕,중립,0,0
Soo cutee,중립,0,0
Ur nails are so cutteeeee :3!! Are they  press ons?,중립,0,0
"Hi, can I know about the  app you use to edit your videos, please 😅
Also your lens too😊😊",중립,0,0
"I'm on my 2nd bottle of The Rice Toner from ""I'm From"" and there's not a single day that I don't get compliments from people ...even from strangers. My skin is plumped, dewy & just immaculately flawless ❤",중립,0,0
The rice toner is wonderful! I usually switch up during seasons.  But instantly restocked 3 more when i ran out. Overall brightens and hydrating!,중립,0,0
The rice toner looks really good. I will be looking out for it. Thanks❤,긍정,1,0
"That cleansing oil is really good. I bought it on sale and though I’ve tried others such as Heimush much lauded cleansing balm, I keep going back to this one. It also has a citrus scent that I really like and is even better used with their manyo cleansing foam (but I’ve found I don’t need to on nights I’m very tired) if you like a two-step cleansing process. I can’t stop touching my skin as I can’t believe how clean it feels. But it’s not irritated or dry.",긍정,1,0
manyo cleansing oil was the first skincare product i spent this much money on and i've been using it ever since!! (for over a year) even after the first usage i saw major improvement and it LITERALLY CLEANSES ALL OF YOUR IMPURITIES and makes your skin feel sooo good 😭,긍정,1,0
The rice toner is amazing. That was the first product I ever used that made my super dry skin so hydrated it almost made my skin an oily type of skin 😂,긍정,1,0
I have been using that rice toner for a year and  some months it's a must have. I am Nigerian so yes Korea skincare works for black people for any 1 wondering,중립,0,0
The rice toner is amazing!,긍정,1,0
The cosrx snail muccin is also the best K-beauty product!!!! I love it!!,긍정,2,0
The rice toner is my holy grail ❤,중립,0,0
"I have the rice toner! Makes my skin shine and got the small one
You guys should really buy it!",중립,0,0
It would be helpful if you can include the type of skin your products are suitable for.,중립,0,0
"The im fro rice toner broke me out and i have senstive oily acne prone skin 😪 but their mugwort essence and mask are my holy grail, reduces redness, balances my oil production and my skin is clearer using them.",중립,0,0
Beauty of Joseon moisturising sunblock. I swear by it.,중립,0,0
I tried the rice toner randomly and is just gorgeous I’m definitely going to repurchase it and highly recommend it. It helped me a lot with my breakouts.,중립,0,0
"Jihyo(twice) in the back: ""SO KILLIN' ME GOOD!😉""
(no hate)",중립,1,1
That Oil Cleanser is Killing Me Good ❤,긍정,1,0
I love that rice toner!!  ❤ it’s so good!!❤,긍정,2,0
"Honestly, tried the manyo oil for about a month now and I keep going back to Banila Co cleansing balm. The oil feels amazing on my skin but doesn't take off waterproof mascara.",긍정,1,0
Thanks for using Jihyo's song ❤,중립,0,0
rice toner saved my complexion on my third bottle now,중립,0,0
The rice toner is everything! Ive been ising it for about a year and trust me she isnt lying!,중립,0,0
"I’m in my early 60’s. As we get older, our dry skin needs a toner with more viscosity. I’m still loving the Haruharu fermented Rice toner & another one that is under rated is the 9Wishes toner.",중립,0,0
So well-edited and peaceful! 💕 I’ve never felt this good in my skin —  *Whiteonskinwhitening Cream*  gave me permanent whitening and the glow of my dreams! 💎,긍정,1,0
rice toner is the best for indian winter dry skin ppl.,긍정,1,0
I LOOOVE how the Rice toner makes my face looks and I’ve only used it for 3 days! I’m going to use that product forever ! 🥰,중립,0,0
"Thanks for showing the ingredients! I can't use these because of fragrance and botanical extracts, but it looks like people love these",긍정,1,0
The I’m From line is so underrated. Their vitamin fruit serum is AMAZING,긍정,1,0
Rice toner is OG for me love it using past 3 years❤,긍정,1,0
Ur so pretty ❤❤❤ Also you have just got a new SUBSCRIBER,중립,0,0
I am using this toner past two years evry day twice amd its amazing❤,긍정,1,0
"My suggestion would be ElizaVecca Hellpore Hyaluronic acid for the Korean win. It may not be viral, but it should be. I use really good and expensive skin care, which i love, but this little product gives a big bang for its cheap cost. Best hack though, apply hyaluronic acid to WET skin to get the best moisture lock in properties from it. Cute packaging too.",긍정,4,0
"The rice toner gives my skin a very dewy look and makes my face look so healthy & glowy. I love love love the toner, but after a few times usage, my skin started getting irritated, so sadly i had to stop using it 😢",긍정,3,0
Rice toner is the best on my 7th bottle!!!,긍정,1,0
I am using simple rose water as toner and almond oil as clearnser of makeup. So this two products are available in all over the world and not expensive and also very good on skin.My skin is so glowing and so clear. We are Indian girl loves this two products.,긍정,1,0
I boight the cleansing oil because it was written no1 on ollive young when I visited Korea. But then it was not good at all. It doesn’t remove my make up well. I always use waterproof mascara when i do my makeup and it doesn’t remove at all. My lip cream also hardly removed. I feel disappointed as I don’t know when to use it.,긍정,1,0
"Numbuzzin eazy peasy oil cleanser is fab for eye removal , takes off everything and does not leave eyes sore .  Its the only oily remover ive ever been able to use.",중립,0,0
Deependra goyal sir is most calm cool and smart sharks❤❤,중립,0,0
Ive been looking at that rice toner for YEARS. I might get it now 😂,중립,0,0
Rice Toner is great pre-makeup,긍정,1,0
Another good toner is tirtir milk skin toner ❤,긍정,1,0
"Recent reviews on Amazon state the formula has changed causing skin damage. Gonna try that website, thank you.",중립,0,0
I normally use 3 products on my face. The rice toner looks so good. I want to get it,긍정,1,0
The rice toner is excellent 👌,긍정,1,0
"i loved the manyo oil cleanser for makeup removal, but the blend of essential oils really break out my sensitive skin. so all sensitives girls and guys, beware. Its still a great wash off product.",긍정,1,0
"I use the rice toner I on my 4 bottle 
“I’m from” every single day of my life my tip at how I use it is when I finish shower dry my face right after I apply the tone because is a fast way to absorb it when the pores are open before the fresh air hits your face.",중립,0,0
the rice toner is only for dry skin! the white liquid means that it is mixed with some oil-based ingredients. those with oily/acne prone/ combi skin can use their mugwort essence,중립,0,0
Purito centella toner and recovery cream are life for dry skin.,중립,0,0
Your skin is flawless,중립,0,0
That rice toner has me in a chokehold. Is so hydrating,중립,0,0
"1.. April Skin Real Calendula Peel Off Pack
2. So Natural Makeup Setting Multi Magic Sealer
3. Medicube Collagen Night Wrapping Mask",중립,0,0
"The last  ‘hack’ is only good for photoshoots and not daily long term wear, the mask is very easily peel-able and will start flaking off throughout the day",긍정,1,0
"In case you don' t have access to korean products, *Make Up Forever* has always had the _Aqua Seal_ liquid. It' s what artistic swimmers use.",중립,0,0
Does the mask under the makeup not look crunchy after a few facial expressions?,중립,0,0
Girl your skin is FLAWLESS!!!!!!!,중립,0,0
Please be careful with the peel off masks. Some aren’t meant to be on the skin for that long and can give chemical burns.,중립,0,0
I’m buying that magic sealer Omg!! Thanks for the recommendation! 💜💜💜,중립,0,0
The peel off mask for pimple patch substitute is genius omg😂 we will be trying that,중립,0,0
i wouldve thought leaving the peel off exfoliating mask with those ingredients on your face for that long would cause crazy irritation on acne lol. i once fell asleep with one on and got a chemical burn🙃,중립,0,0
Korean make-ups are phenomenal in this modern time. ❤❤❤❤,중립,0,0
The last hack looks real good and ur saving ur skin from all the chemicals in the makeup ❤️😊,긍정,1,0
"The 1st product would be a lifesaver for me, i hope! 🤞🏻 Thank you il give this one a try ❤",중립,0,0
"Knowing my luck, that last mask would start peeling away midway and I'll end up looking like I'm melting",중립,0,0
"Yes Style is where you get products like this, it’s an app. It’s where I got TirTir foundation as well.",중립,0,0
She been revealing the whole kpop idols makeup secrets!😭 I love her for that,긍정,1,0
You have naturally POWTY LIPS and I love POWTY lips means I LOVE YOU 💕🥰,긍정,2,0
The magic sealer and the pimple thing was the best thing,긍정,1,0
"So genius because your skin and pores stay mostly make up free and doesn’t continue seeping into your skin/pores leaving your skin healthy ❤🌸✨ (I had a friend that put on a green face mask and put her Halloween make up over it, once she cleaned her face after a few hours her skin was so soft and clean)",중립,0,0
"I have the Aprilskin clear exfoliating peel-off mask, and I tried to use it as a pimple patch, but it makes your skin look flaky and comes off after 30 minutes.",중립,0,0
Extra glowy?? Crying in oily skin 😭😭 wish I could say that too 🫠🤧,중립,0,0
I love your videos,긍정,1,0
Why are u so beautiful 😊😊,중립,0,0
UR RLLY prettyyy!!,중립,0,0
I've always wondered how male idols sweat that much at concerts and still had their eye makeup intact. Thanks for the secret haha,중립,0,0
Your so pretty 🌸,중립,0,0
Omg im Korean yet i didn't konw about the peel off mask for pimples😳 that's a really good tip🥰,긍정,1,0
Help why does she KINDA look like Yoonchae from Katseye 🤣💗,중립,0,0
"Thank you for the hacks, they help me alot❤❤❤❤❤❤❤❤🤭🤭🤭🤭🤭🤭🙏🙏🙏💅💅💅💅💅💅💅💅🏿💅🏻🎂🎂💅💅🍨",중립,0,0
I'll buy the second product!!,중립,0,0
I have always cover my pimple patches with makeup but it looks so bad and now I am going to try this and I hope it's going to be good😊,중립,1,1
Helps to list them if you really wanna share with your viewers,중립,0,0
Am I the only one who thinks that people who have really glowy skin just look really sweaty?,중립,0,0
"I love your vids!!!, First!❤ Is there any way I could get some natural Ingredients to get glowy skin??",긍정,1,0
"That exfoliating peel off mask doesn’t work for me under makeup— no matter how thin a layer I apply, the edges start lifting up a lot when dried up which isn’t invisible at all😭",중립,0,0
OMG the peel off mask hacks is soo genius!! Thank uou,중립,0,0
i loved ❤🩷👑🥰😍🩰❄️☃️🌨️,중립,0,0
